read_name	chromosome	breakpoint_left	breakpoint_right
m54284U_200808_195421/98239005/0_38805	CM010569.1	2328425	2328486
m54284U_200808_195421/86313794/0_40898	CM010569.1	2385915	2385931
m54284U_200808_195421/125897262/0_29629	CM010569.1	2677418	2677424
m54284U_200909_233417/94045418/0_28613	CM010569.1	2686961	2690351
m54284U_200808_195421/46007595/0_30901	CM010569.1	2769585	2769690
m54284U_200808_195421/73008462/0_28521	CM010569.1	3036272	3036709
m54284U_210113_224850/41814082/30275_53580	CM010569.1	3082563	3082634
m54284U_210113_224850/41814082/1433_30230	CM010569.1	3082634	3085378
m54284U_210113_224850/108660995/28369_57666	CM010569.1	3210226	3210251
m54284U_200808_195421/93586825/0_39696	CM010569.1	3210842	3211666
m54284U_200909_233417/108265765/0_25836	CM010569.1	3262647	3262732
m54284U_200909_233417/45549412/59096_104948	CM010569.1	3334088	3336029
m54284U_200909_233417/45549412/0_59053	CM010569.1	3334088	3336029
m54284U_200808_195421/165741831/0_25003	CM010569.1	3395589	3396166
m54284U_210113_224850/5833343/6429_72637	CM010569.1	3492199	3492717
m54284U_200909_233417/141822489/0_29255	CM010569.1	3578199	3578536
m54284U_210113_224850/73533276/0_67274	CM010569.1	3662326	3662892
m54284U_210113_224850/41683182/0_28987	CM010569.1	3689525	3690127
m54284U_210113_224850/723450/0_27864	CM010569.1	3689940	3690127
m54284U_200808_195421/85723143/7657_48261	CM010569.1	3800598	3800612
m54284U_210113_224850/80085376/0_17857	CM010569.1	3918850	3920747
m54284U_200808_195421/99092489/25357_85712	CM010569.1	4022291	4022382
m54284U_200909_233417/17172839/0_25828	CM010569.1	4318549	4318642
m54284U_200808_195421/132056057/0_68454	CM010569.1	4458478	4458629
m54284U_200808_195421/132056057/0_68454	CM010569.1	4478477	4478576
m54284U_200909_233417/48824460/0_26107	CM010569.1	4511101	4512223
m54284U_200909_233417/48824460/26152_53829	CM010569.1	4512223	4512501
m54284U_210113_224850/171443298/0_65382	CM010569.1	4666272	4667160
m54284U_200909_233417/28904239/0_33745	CM010569.1	4792685	4798706
m54284U_200909_233417/98173240/20198_57577	CM010569.1	5060177	5060765
m54284U_200808_195421/37160984/0_46110	CM010569.1	5102220	5103123
m54284U_200909_233417/1116129/0_42836	CM010569.1	5191392	5191848
